😀	emoji grinning face
🧑🏻‍🦳	emoji person: light skin tone, white hair
🧑🏼‍🦳	emoji person: medium-light skin tone, white hair
🧑🏽‍🦳	emoji person: medium skin tone, white hair
🧑🏾‍🦳	emoji person: medium-dark skin tone, white hair
🧑🏿‍🦳	emoji person: dark skin tone, white hair
👩‍🦲	emoji woman: bald
👩🏻‍🦲	emoji woman: light skin tone, bald
👩🏼‍🦲	emoji woman: medium-light skin tone, bald
👩🏽‍🦲	emoji woman: medium skin tone, bald
👩🏾‍🦲	emoji woman: medium-dark skin tone, bald
👩🏿‍🦲	emoji woman: dark skin tone, bald
🧑‍🦲	emoji person: bald
🧑🏻‍🦲	emoji person: light skin tone, bald
🧑🏼‍🦲	emoji person: medium-light skin tone, bald
🧑🏽‍🦲	emoji person: medium skin tone, bald
🧑🏾‍🦲	emoji person: medium-dark skin tone, bald
🧑🏿‍🦲	emoji person: dark skin tone, bald
👱‍♀️	emoji woman: blond hair
👱🏻‍♀️	emoji woman: light skin tone, blond hair
👱🏼‍♀️	emoji woman: medium-light skin tone, blond hair
👱🏽‍♀️	emoji woman: medium skin tone, blond hair
👱🏾‍♀️	emoji woman: medium-dark skin tone, blond hair
👱🏿‍♀️	emoji woman: dark skin tone, blond hair
👱‍♂️	emoji man: blond hair
👱🏻‍♂️	emoji man: light skin tone, blond hair
👱🏼‍♂️	emoji man: medium-light skin tone, blond hair
👱🏽‍♂️	emoji man: medium skin tone, blond hair
👱🏾‍♂️	emoji man: medium-dark skin tone, blond hair
👱🏿‍♂️	emoji man: dark skin tone, blond hair
🧓	emoji older person
🧓🏻	emoji older person: light skin tone
🧓🏼	emoji older person: medium-light skin tone
🧓🏽	emoji older person: medium skin tone
🧓🏾	emoji older person: medium-dark skin tone
🧓🏿	emoji older person: dark skin tone
👴	emoji old man
👴🏻	emoji old man: light skin tone
👴🏼	emoji old man: medium-light skin tone
👴🏽	emoji old man: medium skin tone
👴🏾	emoji old man: medium-dark skin tone
👴🏿	emoji old man: dark skin tone
👵	emoji old woman
👵🏻	emoji old woman: light skin tone
👵🏼	emoji old woman: medium-light skin tone
👵🏽	emoji old woman: medium skin tone
👵🏾	emoji old woman: medium-dark skin tone
👵🏿	emoji old woman: dark skin tone
🙍	emoji person frowning
🙍🏻	emoji person frowning: light skin tone
🙍🏼	emoji person frowning: medium-light skin tone
🙍🏽	emoji person frowning: medium skin tone
🙍🏾	emoji person frowning: medium-dark skin tone
🙍🏿	emoji person frowning: dark skin tone
🙍‍♂️	emoji man frowning
🙍🏻‍♂️	emoji man frowning: light skin tone
🙍🏼‍♂️	emoji man frowning: medium-light skin tone
🙍🏽‍♂️	emoji man frowning: medium skin tone
🙍🏾‍♂️	emoji man frowning: medium-dark skin tone
🙍🏿‍♂️	emoji man frowning: dark skin tone
🙍‍♀️	emoji woman frowning
🙍🏻‍♀️	emoji woman frowning: light skin tone
🙍🏼‍♀️	emoji woman frowning: medium-light skin tone
🙍🏽‍♀️	emoji woman frowning: medium skin tone
