😀	emoji grinning face
🙍🏾‍♀️	emoji woman frowning: medium-dark skin tone
🙍🏿‍♀️	emoji woman frowning: dark skin tone
🙎	emoji person pouting
🙎🏻	emoji person pouting: light skin tone
🙎🏼	emoji person pouting: medium-light skin tone
🙎🏽	emoji person pouting: medium skin tone
🙎🏾	emoji person pouting: medium-dark skin tone
🙎🏿	emoji person pouting: dark skin tone
🙎‍♂️	emoji man pouting
🙎🏻‍♂️	emoji man pouting: light skin tone
🙎🏼‍♂️	emoji man pouting: medium-light skin tone
🙎🏽‍♂️	emoji man pouting: medium skin tone
🙎🏾‍♂️	emoji man pouting: medium-dark skin tone
🙎🏿‍♂️	emoji man pouting: dark skin tone
🙎‍♀️	emoji woman pouting
🙎🏻‍♀️	emoji woman pouting: light skin tone
🙎🏼‍♀️	emoji woman pouting: medium-light skin tone
🙎🏽‍♀️	emoji woman pouting: medium skin tone
🙎🏾‍♀️	emoji woman pouting: medium-dark skin tone
🙎🏿‍♀️	emoji woman pouting: dark skin tone
🙅	emoji person gesturing NO
🙅🏻	emoji person gesturing NO: light skin tone
🙅🏼	emoji person gesturing NO: medium-light skin tone
🙅🏽	emoji person gesturing NO: medium skin tone
🙅🏾	emoji person gesturing NO: medium-dark skin tone
🙅🏿	emoji person gesturing NO: dark skin tone
🙅‍♂️	emoji man gesturing NO
🙅🏻‍♂️	emoji man gesturing NO: light skin tone
🙅🏼‍♂️	emoji man gesturing NO: medium-light skin tone
🙅🏽‍♂️	emoji man gesturing NO: medium skin tone
🙅🏾‍♂️	emoji man gesturing NO: medium-dark skin tone
🙅🏿‍♂️	emoji man gesturing NO: dark skin tone
🙅‍♀️	emoji woman gesturing NO
🙅🏻‍♀️	emoji woman gesturing NO: light skin tone
🙅🏼‍♀️	emoji woman gesturing NO: medium-light skin tone
🙅🏽‍♀️	emoji woman gesturing NO: medium skin tone
🙅🏾‍♀️	emoji woman gesturing NO: medium-dark skin tone
🙅🏿‍♀️	emoji woman gesturing NO: dark skin tone
🙆	emoji person gesturing OK
🙆🏻	emoji person gesturing OK: light skin tone
🙆🏼	emoji person gesturing OK: medium-light skin tone
🙆🏽	emoji person gesturing OK: medium skin tone
🙆🏾	emoji person gesturing OK: medium-dark skin tone
🙆🏿	emoji person gesturing OK: dark skin tone
🙆‍♂️	emoji man gesturing OK
🙆🏻‍♂️	emoji man gesturing OK: light skin tone
🙆🏼‍♂️	emoji man gesturing OK: medium-light skin tone
🙆🏽‍♂️	emoji man gesturing OK: medium skin tone
🙆🏾‍♂️	emoji man gesturing OK: medium-dark skin tone
🙆🏿‍♂️	emoji man gesturing OK: dark skin tone
🙆‍♀️	emoji woman gesturing OK
🙆🏻‍♀️	emoji woman gesturing OK: light skin tone
🙆🏼‍♀️	emoji woman gesturing OK: medium-light skin tone
🙆🏽‍♀️	emoji woman gesturing OK: medium skin tone
🙆🏾‍♀️	emoji woman gesturing OK: medium-dark skin tone
🙆🏿‍♀️	emoji woman gesturing OK: dark skin tone
💁	emoji person tipping hand
💁🏻	emoji person tipping hand: light skin tone
💁🏼	emoji person tipping hand: medium-light skin tone
💁🏽	emoji person tipping hand: medium skin tone
💁🏾	emoji person tipping hand: medium-dark skin tone
💁🏿	emoji person tipping hand: dark skin tone
💁‍♂️	emoji man tipping hand
💁🏻‍♂️	emoji man tipping hand: light skin tone
💁🏼‍♂️	emoji man tipping hand: medium-light skin tone
💁🏽‍♂️	emoji man tipping hand: medium skin tone
💁🏾‍♂️	emoji man tipping hand: medium-dark skin tone
💁🏿‍♂️	emoji man tipping hand: dark skin tone
💁‍♀️	emoji woman tipping hand
💁🏻‍♀️	emoji woman tipping hand: light skin tone
💁🏼‍♀️	emoji woman tipping hand: medium-light skin tone
💁🏽‍♀️	emoji woman tipping hand: medium skin tone
💁🏾‍♀️	emoji woman tipping hand: medium-dark skin tone
💁🏿‍♀️	emoji woman tipping hand: dark skin tone
🙋	emoji person raising hand
🙋🏻	emoji person raising hand: light skin tone
🙋🏼	emoji person raising hand: medium-light skin tone
🙋🏽	emoji person raising hand: medium skin tone
🙋🏾	emoji person raising hand: medium-dark skin tone
🙋🏿	emoji person raising hand: dark skin tone
🙋‍♂️	emoji man raising hand
🙋🏻‍♂️	emoji man raising hand: light skin tone
🙋🏼‍♂️	emoji man raising hand: medium-light skin tone
🙋🏽‍♂️	emoji man raising hand: medium skin tone
🙋🏾‍♂️	emoji man raising hand: medium-dark skin tone
🙋🏿‍♂️	emoji man raising hand: dark skin tone
🙋‍♀️	emoji woman raising hand
🙋🏻‍♀️	emoji woman raising hand: light skin tone
🙋🏼‍♀️	emoji woman raising hand: medium-light skin tone
🙋🏽‍♀️	emoji woman raising hand: medium skin tone
🙋🏾‍♀️	emoji woman raising hand: medium-dark skin tone
🙋🏿‍♀️	emoji woman raising hand: dark skin tone
🧏	emoji deaf person
🧏🏻	emoji deaf person: light skin tone
🧏🏼	emoji deaf person: medium-light skin tone
🧏🏽	emoji deaf person: medium skin tone
🧏🏾	emoji deaf person: medium-dark skin tone
🧏🏿	emoji deaf person: dark skin tone
🧏‍♂️	emoji deaf man
🧏🏻‍♂️	emoji deaf man: light skin tone
🧏🏼‍♂️	emoji deaf man: medium-light skin tone
🧏🏽‍♂️	emoji deaf man: medium skin tone
🧏🏾‍♂️	emoji deaf man: medium-dark skin tone
🧏🏿‍♂️	emoji deaf man: dark skin tone
🧏‍♀️	emoji deaf woman
🧏🏻‍♀️	emoji deaf woman: light skin tone
🧏🏼‍♀️	emoji deaf woman: medium-light skin tone
🧏🏽‍♀️	emoji deaf woman: medium skin tone
🧏🏾‍♀️	emoji deaf woman: medium-dark skin tone
🧏🏿‍♀️	emoji deaf woman: dark skin tone
🙇	emoji person bowing
🙇🏻	emoji person bowing: light skin tone
🙇🏼	emoji person bowing: medium-light skin tone
🙇🏽	emoji person bowing: medium skin tone
🙇🏾	emoji person bowing: medium-dark skin tone
🙇🏿	emoji person bowing: dark skin tone
🙇‍♂️	emoji man bowing
🙇🏻‍♂️	emoji man bowing: light skin tone
🙇🏼‍♂️	emoji man bowing: medium-light skin tone
🙇🏽‍♂️	emoji man bowing: medium skin tone
🙇🏾‍♂️	emoji man bowing: medium-dark skin tone
🙇🏿‍♂️	emoji man bowing: dark skin tone
🙇‍♀️	emoji woman bowing
🙇🏻‍♀️	emoji woman bowing: light skin tone
🙇🏼‍♀️	emoji woman bowing: medium-light skin tone
🙇🏽‍♀️	emoji woman bowing: medium skin tone
🙇🏾‍♀️	emoji woman bowing: medium-dark skin tone
🙇🏿‍♀️	emoji woman bowing: dark skin tone
🤦	emoji person facepalming
🤦🏻	emoji person facepalming: light skin tone
🤦🏼	emoji person facepalming: medium-light skin tone
🤦🏽	emoji person facepalming: medium skin tone
🤦🏾	emoji person facepalming: medium-dark skin tone
🤦🏿	emoji person facepalming: dark skin tone
🤦‍♂️	emoji man facepalming
🤦🏻‍♂️	emoji man facepalming: light skin tone
🤦🏼‍♂️	emoji man facepalming: medium-light skin tone
🤦🏽‍♂️	emoji man facepalming: medium skin tone
🤦🏾‍♂️	emoji man facepalming: medium-dark skin tone
🤦🏿‍♂️	emoji man facepalming: dark skin tone
🤦‍♀️	emoji woman facepalming
🤦🏻‍♀️	emoji woman facepalming: light skin tone
🤦🏼‍♀️	emoji woman facepalming: medium-light skin tone
🤦🏽‍♀️	emoji woman facepalming: medium skin tone
🤦🏾‍♀️	emoji woman facepalming: medium-dark skin tone
🤦🏿‍♀️	emoji woman facepalming: dark skin tone
🤷	emoji person shrugging
🤷🏻	emoji person shrugging: light skin tone
🤷🏼	emoji person shrugging: medium-light skin tone
🤷🏽	emoji person shrugging: medium skin tone
🤷🏾	emoji person shrugging: medium-dark skin tone
🤷🏿	emoji person shrugging: dark skin tone
🤷‍♂️	emoji man shrugging
🤷🏻‍♂️	emoji man shrugging: light skin tone
🤷🏼‍♂️	emoji man shrugging: medium-light skin tone
🤷🏽‍♂️	emoji man shrugging: medium skin tone
🤷🏾‍♂️	emoji man shrugging: medium-dark skin tone
🤷🏿‍♂️	emoji man shrugging: dark skin tone
🤷‍♀️	emoji woman shrugging
🤷🏻‍♀️	emoji woman shrugging: light skin tone
🤷🏼‍♀️	emoji woman shrugging: medium-light skin tone
🤷🏽‍♀️	emoji woman shrugging: medium skin tone
🤷🏾‍♀️	emoji woman shrugging: medium-dark skin tone
🤷🏿‍♀️	emoji woman shrugging: dark skin tone
🧑‍⚕️	emoji health worker
🧑🏻‍⚕️	emoji health worker: light skin tone
🧑🏼‍⚕️	emoji health worker: medium-light skin tone
🧑🏽‍⚕️	emoji health worker: medium skin tone
🧑🏾‍⚕️	emoji health worker: medium-dark skin tone
🧑🏿‍⚕️	emoji health worker: dark skin tone
👨‍⚕️	emoji man health worker
👨🏻‍⚕️	emoji man health worker: light skin tone
👨🏼‍⚕️	emoji man health worker: medium-light skin tone
👨🏽‍⚕️	emoji man health worker: medium skin tone
👨🏾‍⚕️	emoji man health worker: medium-dark skin tone
👨🏿‍⚕️	emoji man health worker: dark skin tone
👩‍⚕️	emoji woman health worker
👩🏻‍⚕️	emoji woman health worker: light skin tone
👩🏼‍⚕️	emoji woman health worker: medium-light skin tone
👩🏽‍⚕️	emoji woman health worker: medium skin tone
👩🏾‍⚕️	emoji woman health worker: medium-dark skin tone
👩🏿‍⚕️	emoji woman health worker: dark skin tone
🧑‍🎓	emoji student
🧑🏻‍🎓	emoji student: light skin tone
🧑🏼‍🎓	emoji student: medium-light skin tone
🧑🏽‍🎓	emoji student: medium skin tone
🧑🏾‍🎓	emoji student: medium-dark skin tone
🧑🏿‍🎓	emoji student: dark skin tone
👨‍🎓	emoji man student
👨🏻‍🎓	emoji man student: light skin tone
👨🏼‍🎓	emoji man student: medium-light skin tone
👨🏽‍🎓	emoji man student: medium skin tone
👨🏾‍🎓	emoji man student: medium-dark skin tone
👨🏿‍🎓	emoji man student: dark skin tone
👩‍🎓	emoji woman student
👩🏻‍🎓	emoji woman student: light skin tone
👩🏼‍🎓	emoji woman student: medium-light skin tone
👩🏽‍🎓	emoji woman student: medium skin tone
👩🏾‍🎓	emoji woman student: medium-dark skin tone
👩🏿‍🎓	emoji woman student: dark skin tone
🧑‍🏫	emoji teacher
🧑🏻‍🏫	emoji teacher: light skin tone
🧑🏼‍🏫	emoji teacher: medium-light skin tone
🧑🏽‍🏫	emoji teacher: medium skin tone
🧑🏾‍🏫	emoji teacher: medium-dark skin tone
🧑🏿‍🏫	emoji teacher: dark skin tone
👨‍🏫	emoji man teacher
👨🏻‍🏫	emoji man teacher: light skin tone
👨🏼‍🏫	emoji man teacher: medium-light skin tone
👨🏽‍🏫	emoji man teacher: medium skin tone
👨🏾‍🏫	emoji man teacher: medium-dark skin tone
👨🏿‍🏫	emoji man teacher: dark skin tone
👩‍🏫	emoji woman teacher
👩🏻‍🏫	emoji woman teacher: light skin tone
👩🏼‍🏫	emoji woman teacher: medium-light skin tone
👩🏽‍🏫	emoji woman teacher: medium skin tone
👩🏾‍🏫	emoji woman teacher: medium-dark skin tone
👩🏿‍🏫	emoji woman teacher: dark skin tone
🧑‍⚖️	emoji judge
🧑🏻‍⚖️	emoji judge: light skin tone
🧑🏼‍⚖️	emoji judge: medium-light skin tone
🧑🏽‍⚖️	emoji judge: medium skin tone
🧑🏾‍⚖️	emoji judge: medium-dark skin tone
🧑🏿‍⚖️	emoji judge: dark skin tone
👨‍⚖️	emoji man judge
👨🏻‍⚖️	emoji man judge: light skin tone
👨🏼‍⚖️	emoji man judge: medium-light skin tone
👨🏽‍⚖️	emoji man judge: medium skin tone
👨🏾‍⚖️	emoji man judge: medium-dark skin tone
👨🏿‍⚖️	emoji man judge: dark skin tone
👩‍⚖️	emoji woman judge
👩🏻‍⚖️	emoji woman judge: light skin tone
👩🏼‍⚖️	emoji woman judge: medium-light skin tone
👩🏽‍⚖️	emoji woman judge: medium skin tone
👩🏾‍⚖️	emoji woman judge: medium-dark skin tone
👩🏿‍⚖️	emoji woman judge: dark skin tone
🧑‍🌾	emoji farmer
🧑🏻‍🌾	emoji farmer: light skin tone
🧑🏼‍🌾	emoji farmer: medium-light skin tone
🧑🏽‍🌾	emoji farmer: medium skin tone
🧑🏾‍🌾	emoji farmer: medium-dark skin tone
🧑🏿‍🌾	emoji farmer: dark skin tone
👨‍🌾	emoji man farmer
👨🏻‍🌾	emoji man farmer: light skin tone
👨🏼‍🌾	emoji man farmer: medium-light skin tone
👨🏽‍🌾	emoji man farmer: medium skin tone
👨🏾‍🌾	emoji man farmer: medium-dark skin tone
👨🏿‍🌾	emoji man farmer: dark skin tone
👩‍🌾	emoji woman farmer
👩🏻‍🌾	emoji woman farmer: light skin tone
👩🏼‍🌾	emoji woman farmer: medium-light skin tone
👩🏽‍🌾	emoji woman farmer: medium skin tone
👩🏾‍🌾	emoji woman farmer: medium-dark skin tone
👩🏿‍🌾	emoji woman farmer: dark skin tone
🧑‍🍳	emoji cook
🧑🏻‍🍳	emoji cook: light skin tone
🧑🏼‍🍳	emoji cook: medium-light skin tone
🧑🏽‍🍳	emoji cook: medium skin tone
🧑🏾‍🍳	emoji cook: medium-dark skin tone
🧑🏿‍🍳	emoji cook: dark skin tone
👨‍🍳	emoji man cook
👨🏻‍🍳	emoji man cook: light skin tone
👨🏼‍🍳	emoji man cook: medium-light skin tone
👨🏽‍🍳	emoji man cook: medium skin tone
👨🏾‍🍳	emoji man cook: medium-dark skin tone
👨🏿‍🍳	emoji man cook: dark skin tone
👩‍🍳	emoji woman cook
👩🏻‍🍳	emoji woman cook: light skin tone
👩🏼‍🍳	emoji woman cook: medium-light skin tone
👩🏽‍🍳	emoji woman cook: medium skin tone
👩🏾‍🍳	emoji woman cook: medium-dark skin tone
👩🏿‍🍳	emoji woman cook: dark skin tone
🧑‍🔧	emoji mechanic
🧑🏻‍🔧	emoji mechanic: light skin tone
🧑🏼‍🔧	emoji mechanic: medium-light skin tone
🧑🏽‍🔧	emoji mechanic: medium skin tone
🧑🏾‍🔧	emoji mechanic: medium-dark skin tone
🧑🏿‍🔧	emoji mechanic: dark skin tone
👨‍🔧	emoji man mechanic
👨🏻‍🔧	emoji man mechanic: light skin tone
👨🏼‍🔧	emoji man mechanic: medium-light skin tone
👨🏽‍🔧	emoji man mechanic: medium skin tone
👨🏾‍🔧	emoji man mechanic: medium-dark skin tone
👨🏿‍🔧	emoji man mechanic: dark skin tone
👩‍🔧	emoji woman mechanic
👩🏻‍🔧	emoji woman mechanic: light skin tone
👩🏼‍🔧	emoji woman mechanic: medium-light skin tone
👩🏽‍🔧	emoji woman mechanic: medium skin tone
👩🏾‍🔧	emoji woman mechanic: medium-dark skin tone
👩🏿‍🔧	emoji woman mechanic: dark skin tone
🧑‍🏭	emoji factory worker
🧑🏻‍🏭	emoji factory worker: light skin tone
🧑🏼‍🏭	emoji factory worker: medium-light skin tone
🧑🏽‍🏭	emoji factory worker: medium skin tone
🧑🏾‍🏭	emoji factory worker: medium-dark skin tone
🧑🏿‍🏭	emoji factory worker: dark skin tone
👨‍🏭	emoji man factory worker
👨🏻‍🏭	emoji man factory worker: light skin tone
👨🏼‍🏭	emoji man factory worker: medium-light skin tone
👨🏽‍🏭	emoji man factory worker: medium skin tone
👨🏾‍🏭	emoji man factory worker: medium-dark skin tone
👨🏿‍🏭	emoji man factory worker: dark skin tone
👩‍🏭	emoji woman factory worker
👩🏻‍🏭	emoji woman factory worker: light skin tone
👩🏼‍🏭	emoji woman factory worker: medium-light skin tone
👩🏽‍🏭	emoji woman factory worker: medium skin tone
👩🏾‍🏭	emoji woman factory worker: medium-dark skin tone
👩🏿‍🏭	emoji woman factory worker: dark skin tone
